sample_id,split,FW_THICK_CM,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,LI6_ENRICH_ATOM_FRAC,tbr,tbr_pred,ci_lower,ci_upper,pr_tbr_gt_1.05,pr_tbr_gt_1.10,pr_tbr_gt_1.15,pr_tbr_gt_1.20,pr_tbr_gt_1.25,pr_tbr_gt_1.30,pr_tbr_gt_1.35,pr_tbr_gt_1.40,pr_tbr_gt_1.45,pr_tbr_gt_1.50
0,train,1.3510297651230865,52.27020690228534,30.277144923798023,27.621491710819303,0.4047782011306727,1.523483663413,1.523433924602355,1.4882497333503215,1.558618115854388,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8330178095396825
1,calibration,3.9775859770425326,30.33259243622153,46.820383200100416,18.42385504180276,0.415987624940482,1.430557311347,1.4189635113572037,1.3837793201051705,1.4541477026092369,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7694890898779421,0.05894270212900274,0.0
2,train,3.469996423096529,36.43026163046742,36.06183894130214,18.787852976501235,0.7352641913591853,1.509457962839,1.5094828968864529,1.4742987056344197,1.544667088138486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.634760762561295
3,train,3.9183024670942106,61.26959591174291,21.280625948757727,16.262787282875472,0.6702520505765015,1.475482659406,1.4749388134793695,1.4397546222273363,1.5101230047314027,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8544036766502114,0.14385728890127217
4,train,1.7163553716014883,52.67269242375579,38.65474133300907,19.210610483868287,0.6801283943686476,1.541757665987,1.541734476093768,1.5065502848417347,1.576918667345801,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,train,1.4072812399565156,65.0852627031752,26.40708962369608,15.730159012927558,0.5229770120029185,1.530144345762,1.5298594421321168,1.4946752508800836,1.56504363338415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9243303749434808
6,train,4.485745872967728,42.73439196527342,14.460218468012798,26.12565327681101,0.4902983354989634,1.405236138648,1.4051580001773172,1.369973808925284,1.4403421914293504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5732999678800234,0.0,0.0
7,train,2.559048749778933,68.08290085609512,29.44037557254266,20.84706997803025,0.7800334655362773,1.546242007217,1.546172744505096,1.5109885532530627,1.581356935757129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,train,3.050744008920669,40.89128656744122,20.391489866001223,11.084641142158713,0.7512315105299012,1.531327912874,1.5318976224958378,1.4967134312438046,1.567081813747871,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9532948088439371
9,train,4.631149382073525,37.859442769574805,28.575386430353745,12.475529112038132,0.7774180630829814,1.431598630507,1.4314318516674662,1.396247660415433,1.4666160429194994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9466757732515729,0.2361293855026336,0.0
