sample_id,region,target,time_s,time_yr,true,pred,rel_error,abs_log10_ratio
14,cell_3,atoms_H3,3153600.0,0.1,2.57133e+16,2.3899728499715096e+16,0.0705304842351975,0.031764849412506395
20,cell_3,atoms_H3,3153600.0,0.1,1.67684e+16,1.830281302509524e+16,0.09150622749309655,0.03802621788132156
71,cell_3,atoms_H3,3153600.0,0.1,1.57352e+16,1.5502122293491324e+16,0.014812503591227058,0.006481108683455045
74,cell_3,atoms_H3,3153600.0,0.1,1.42518e+16,1.4647926594542584e+16,0.027794846583770752,0.011906435779741506
87,cell_3,atoms_H3,3153600.0,0.1,8822860000000000.0,9388344694964808.0,0.06409312796131957,0.0269796384757745
14,cell_3,atoms_H3,15768000.0,0.5,1.27133e+17,1.18050504005244e+17,0.0714409004330583,0.032190449706653364
20,cell_3,atoms_H3,15768000.0,0.5,8.2907e+16,9.047212501087395e+16,0.09124832656921553,0.03792359072296147
71,cell_3,atoms_H3,15768000.0,0.5,7.77991e+16,7.667212763797397e+16,0.01448567351069655,0.006337057970002087
74,cell_3,atoms_H3,15768000.0,0.5,7.04647e+16,7.244287679284456e+16,0.028073301849643295,0.012024081054081698
87,cell_3,atoms_H3,15768000.0,0.5,4.36226e+16,4.6394794060137304e+16,0.06354949178034561,0.026757704400467684
14,cell_3,atoms_H3,31536000.0,1.0,2.50741e+17,2.330664503206564e+17,0.07048926852546498,0.031745591805725414
20,cell_3,atoms_H3,31536000.0,1.0,1.63516e+17,1.7847931863402224e+17,0.09150981331504097,0.03802764462547228
71,cell_3,atoms_H3,31536000.0,1.0,1.53442e+17,1.5116912301193846e+17,0.014812613157163854,0.006481156982773259
74,cell_3,atoms_H3,31536000.0,1.0,1.38977e+17,1.4283949719264358e+17,0.0277923483212588,0.011905380138194423
87,cell_3,atoms_H3,31536000.0,1.0,8.60367e+16,9.155100683425373e+16,0.06409249580997095,0.026979380472112263
14,cell_3,atoms_H3,63083642.4,2.0003691780821917,8.63838e+17,8.027433184917691e+17,0.0707246978116625,0.03185560515698698
20,cell_3,atoms_H3,63083642.4,2.0003691780821917,5.63349e+17,6.147228019021076e+17,0.0911935618987655,0.03790179495895026
71,cell_3,atoms_H3,63083642.4,2.0003691780821917,5.28644e+17,5.2069673138256365e+17,0.015033309027315835,0.006578455970772216
