seed,r2,mae,qhat,ci_width,picp,y_range,width_range_ratio
1,0.9750459693426865,0.008082904931858323,0.017628162052527374,0.03525632410505475,0.9285714285714286,0.197159744363,0.1788211088372213
2,0.9759793282292911,0.006598624579406203,0.009533635716636901,0.019067271433273802,0.6428571428571429,0.15964654300100012,0.11943428949259711
3,0.9789770401463418,0.006579469901879853,0.01525226985645145,0.0305045397129029,0.8571428571428571,0.19467362649699993,0.15669580035985511
4,0.9545298264011334,0.009528249612123887,0.01723981596122659,0.03447963192245318,1.0,0.189194054356,0.18224479643305297
5,0.9149532352200841,0.010040269925569596,0.032279472961526556,0.06455894592305311,0.9285714285714286,0.1338317576350001,0.48238883702868934
6,0.9704992579974904,0.00798335916195238,0.03552605945277931,0.07105211890555863,1.0,0.16965367097899997,0.4188068462977944
7,0.9592961592730377,0.008574721290941294,0.029515957186099007,0.05903191437219801,1.0,0.17184302638600002,0.3435223157650773
8,0.9700534632822387,0.006064558052365466,0.01631662490896857,0.03263324981793714,0.9285714285714286,0.15406594957700004,0.2118135117301016
9,0.9688530475408529,0.006123475334729804,0.017257547139717166,0.03451509427943433,0.9285714285714286,0.1752144444549999,0.19698772202710035
10,0.9790387079123531,0.006403544754156799,0.027106259357782214,0.05421251871556443,1.0,0.1752144444549999,0.30940667525551957
11,0.9734498245823737,0.006904945539873435,0.027003315021725705,0.05400663004345141,1.0,0.1986684864849999,0.2718429631139767
12,0.9607098705714859,0.0055856623449816855,0.008996177876251732,0.017992355752503464,0.7857142857142857,0.11449334164900016,0.15714761656326054
13,0.9818031868079824,0.005330290009621644,0.016605344714911707,0.033210689429823415,1.0,0.1868261660499999,0.17776251652530997
14,0.9547579830021609,0.0053932224669212625,0.03638185138621486,0.07276370277242972,1.0,0.150827476458,0.48243002191110573
15,0.9804070087055268,0.004297768288462289,0.03882266610430807,0.07764533220861614,1.0,0.12342250540299982,0.6291018964093152
16,0.9631391525258787,0.005139081088009486,0.030663453252244066,0.06132690650448813,1.0,0.11957803000900014,0.512860987088283
17,0.9798744647968977,0.006230930747621187,0.02391149484703803,0.04782298969407606,1.0,0.19709799699499997,0.2426355945935323
18,0.9777532409988969,0.0046274434349157555,0.021734874752782574,0.04346974950556515,0.9285714285714286,0.17184302638600002,0.25296196429828827
19,0.9783597447299143,0.006377091932569872,0.019756956971648698,0.039513913943297396,1.0,0.18927550014600003,0.20876401812605352
20,0.9805977354696357,0.005285985891599597,0.026814198593252403,0.053628397186504806,1.0,0.17370570233299998,0.3087313569228561
21,0.9812035789891366,0.0065830664612370905,0.018152324870592818,0.036304649741185635,1.0,0.18308134035699997,0.1982979241379448
22,0.9820340253853738,0.004417051236135704,0.027983445218307867,0.055966890436615735,1.0,0.17360864948,0.3223738598523181
23,0.9830371811902652,0.005351951457731818,0.01815958678329932,0.03631917356659864,1.0,0.1749898057849999,0.20755022501837597
24,0.949215616799567,0.009118977038664013,0.02733806362604141,0.05467612725208282,0.8571428571428571,0.192613655765,0.283864230887092
25,0.978200225221301,0.0053696919065731675,0.0261213534873439,0.0522427069746878,1.0,0.193720553533,0.2696807644924902
26,0.9800248795475563,0.006781853113238375,0.035596683906957916,0.07119336781391583,1.0,0.1879688172709999,0.3787509484154192
